latitude,longitude,data_hora,temperatura_ar,umidade_relativa,velocidade_vento,direcao_vento,precipitacao,indice_seca,temperatura_superficie,radiacao_solar,concentracao_CO,concentracao_CO2,concentracao_PM25,frp,intensidade_foco,tipo_cobertura_solo,indice_vegetacao_ndvi,deteccao_foco
-10.1284,-50.5473,2025-06-02 14:00:00,34.7,39,5.4,94,0,0.47,47.7,536,0.88,393,36,0,nenhuma,floresta,0.43,1
-10.1727,-50.5574,2025-06-02 14:05:00,35.2,17,1.5,109,0,0.89,34.3,636,0.08,454,42,0,alta,solo exposto,0.34,0
-10.1586,-50.5869,2025-06-02 14:10:00,36.1,47,2.8,258,0,0.62,54.3,837,1.42,411,12,150,baixa,pastagem,0.26,0
-10.1878,-50.5113,2025-06-02 14:15:00,37.7,18,3.5,135,1,0.84,41.2,555,1.06,390,59,200,nenhuma,solo exposto,0.39,0
-10.1819,-50.555,2025-06-02 14:20:00,31.2,39,4.3,101,1,0.4,34.0,686,0.77,440,12,200,nenhuma,floresta,0.26,0
-10.1319,-50.5805,2025-06-02 14:25:00,37.9,34,1.3,159,1,0.69,34.5,840,1.4,397,10,50,baixa,pastagem,0.31,0
-10.1819,-50.5632,2025-06-02 14:30:00,34.0,48,2.0,106,0,0.79,32.5,757,0.69,406,18,150,media,pastagem,0.79,0
-10.1475,-50.5586,2025-06-02 14:35:00,28.9,40,2.9,204,0,0.87,50.1,944,1.47,434,36,200,media,floresta,0.47,0
-10.1291,-50.5172,2025-06-02 14:40:00,28.7,19,7.8,236,2,0.5,33.1,557,0.79,433,39,150,nenhuma,pastagem,0.52,0
-10.1893,-50.5266,2025-06-02 14:45:00,32.0,49,3.3,243,0,0.73,33.1,862,0.22,454,14,120,nenhuma,floresta,0.72,0
-10.1433,-50.5231,2025-06-02 14:50:00,37.4,42,4.4,137,0,0.62,51.3,622,1.16,400,7,90,nenhuma,pastagem,0.8,0
-10.1743,-50.5989,2025-06-02 14:55:00,36.5,43,2.4,197,3,0.34,38.6,687,1.03,423,16,0,baixa,floresta,0.55,0
-10.1037,-50.5584,2025-06-02 15:00:00,37.5,23,5.3,141,1,0.71,30.8,729,1.17,384,53,150,nenhuma,pastagem,0.69,1
-10.1516,-50.5519,2025-06-02 15:05:00,34.2,52,3.0,185,0,0.71,31.3,667,1.43,420,35,0,nenhuma,solo exposto,0.4,0
-10.1194,-50.5981,2025-06-02 15:10:00,33.3,20,2.4,159,2,0.86,33.6,919,1.18,438,33,0,baixa,solo exposto,0.38,0
-10.145,-50.574,2025-06-02 15:15:00,29.8,33,4.6,191,0,0.6,35.3,613,0.94,433,9,0,alta,solo exposto,0.44,0
-10.1957,-50.524,2025-06-02 15:20:00,31.9,58,1.0,164,0,0.44,46.6,751,1.29,453,56,200,nenhuma,pastagem,0.6,0
-10.1367,-50.5863,2025-06-02 15:25:00,33.2,25,1.1,250,0,0.33,33.9,606,1.03,401,29,120,nenhuma,pastagem,0.61,0
-10.1049,-50.5465,2025-06-02 15:30:00,29.1,16,2.5,240,2,0.55,33.0,536,0.64,444,45,120,baixa,solo exposto,0.39,0
-10.1398,-50.5785,2025-06-02 15:35:00,30.6,58,1.3,232,0,0.48,49.1,834,1.33,443,35,0,baixa,solo exposto,0.28,1
-10.1181,-50.5988,2025-06-02 15:40:00,35.2,58,1.8,244,1,0.76,46.8,591,0.37,450,25,0,nenhuma,floresta,0.58,0
